account_scope,period_years,horizon_days,ticker,name,asset_type,account,currency,quantity,current_local_price,current_fx,fx_method,cost_fx_method,current_value,invested_cost,current_pnl,future_value_p10,future_value_p50,future_value_mean,future_value_p90,expected_pnl,contribution_to_change,hold_assumption,forecast_status,forecast_available,valuation_method,warning
전체,5,10,005930.KS,삼성전자,stock,통합,KRW,76.0,247500.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),18810000.0,10813432.0,7996568.0,16036624.138112182,18642468.652086653,18756878.954113662,21603179.18830873,7829036.652086653,-167531.34791334718,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,5,10,SNDK,SanDisk,stock,통합,USD,51.0,1625.780029296875,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,115360169.49890077,41938297.559999995,73421871.93890077,98481713.5300655,120427217.77856445,125017922.0327659,158016943.1275477,78488920.21856445,5067048.279663682,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,5,10,RAM,RAM,stock,통합,USD,1792.0,12.069999694824219,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,30093256.67287731,26003443.2,4089813.4728773125,25640177.93717834,29906531.222923823,30329460.091688696,30930840.13717065,3903088.0229238234,-186725.449953489,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,5,10,KRW,원화예수금,cash,통합,KRW,855162.0,1.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),855162.0,855162.0,0.0,855162.0,855162.0,855162.0,855162.0,0.0,0.0,현재 수량 그대로 보유,cash_held_constant,False,cash_nominal_value,
전체,5,30,000660.KS,SK하이닉스,stock,통합,KRW,29.0,1500000.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),43500000.0,18675014.0,24824986.0,42011949.76385117,58299883.967443556,59680521.461405456,79228017.8667292,39624869.967443556,14799883.967443556,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,5,30,005930.KS,삼성전자,stock,통합,KRW,76.0,247500.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),18810000.0,10813432.0,7996568.0,15170391.614489745,19016877.26340425,19298543.331740376,23806363.05501602,8203445.26340425,206877.26340425014,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,5,30,SNDK,SanDisk,stock,통합,USD,51.0,1625.780029296875,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,115360169.49890077,41938297.559999995,73421871.93890077,161220616.10058224,229191382.00040984,242364986.35571054,339207962.6012923,187253084.44040984,113831212.50150907,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,5,30,RAM,RAM,stock,통합,USD,1792.0,12.069999694824219,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,30093256.67287731,26003443.2,4089813.4728773125,14955798.322441963,29476894.0890572,30234181.206309926,31420389.963821784,3473450.8890572004,-616362.583820112,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,5,30,KRW,원화예수금,cash,통합,KRW,855162.0,1.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),855162.0,855162.0,0.0,855162.0,855162.0,855162.0,855162.0,0.0,0.0,현재 수량 그대로 보유,cash_held_constant,False,cash_nominal_value,
전체,5,60,000660.KS,SK하이닉스,stock,통합,KRW,29.0,1500000.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),43500000.0,18675014.0,24824986.0,51792448.47182415,80118144.34642428,85776828.69492503,126994172.5602104,61443130.34642428,36618144.34642428,현재 수량 그대로 보유,forecasted,True,latest_market_price,
